ரேடியோ	radio
மாவட்டத்தின்	maavataththin
பகுதிகளை	paguthigalai
உள்ளடக்கியது	vulladakkiyathu
</s>	</s>
ராதா	raatha
மற்றும்	mattrum
பலரும்	palarum
நடித்திருந்தனர்	nadiththurunthanar
</s>	</s>
லேசான	lesaana
அல்லது	allathu
மிதமான	mithamaana
அறிகுறிகள்	arigurigal
கண்டறியப்படின்	kandariyapadina
நோய்க்கொல்லியான	noikolliyaana
செஃப்ரியாக்ஸோன்	sekpriyason
உடன்	vudan
டாக்சிசைக்ளின்	taaksisaikalin
என்ற	endra
மருந்துகளை	marunthukalai
இரண்டு	irandu
வாரத்திற்கு	vaaraththirkku
ஊசிமூலம்	voosimoolam
போட்டுக்கொள்ள	pottukolla
வேண்டும்	vendum
</s>	</s>
2006	2006
–	-
சிங்கள	singal
நாளிதழான	naalithalaana
மௌபிம	movpima
பத்திரிகையின்	paththirikaiyin
தமிழ்ப்	tamil
பத்திரிகையாளரான	paththirikaiyaalaraana
முனுசாமி	munusaami
பரமேஸ்வரி	parameshvari
தீவிரவாத	theeviravatha
இயக்கத்துடன்	iyakathudan
தொடர்புடையவர்	thodarbudaiyavar
என்ற	endra
குற்றச்சாட்டின்	kutrachaatin
பேரில்	paeril
கைது	kaithu
செய்யப்பட்டார்	seiyapataar
</s>	</s>
பிசுமத்	pisuma
நேர்மின்	nermin
அயனி	ayani
3	3
ஆக்சிசனேற்ற	aaksisanetra
நிலையிலும்	nilaiyilum
நைட்ரேட்டு	naitrettu
எதிர்மின்	ethirmin
அயனியும்	ayaniyum
சேர்ந்து	sernthu
இச்சேர்மம்	ichsermam
உருவாகிறது	vooruvagirathu
</s>	</s>
ஓவியம்	ooviyam
</s>	</s>
எவ்வி	yaevvi
என்னும்	ennum
சொல்லின்	sollin
பொருள்	porul
</s>	</s>
வேல்சு	velsu
அணி	ani
ஐக்கிய	aikkiya
இராச்சியத்தில்	raasiyaththil
உள்ளடக்கப்பட்டிருந்தாலும்	vulladakkapattuirunthaalum
பன்னாட்டுப்	pannattu
போட்டிகளில்	pootigalil
தனித்தே	thanithe
போட்டியிடுகிறது	pottiyidukirathu
</s>	</s>
மயிலம்	mayilam
பொம்மபுர	pommapura
ஆதீனத்தின்	aathinnathin
ஆதிகுருவாகிய	aathiguruvaagiya
பாலசித்தர்	paalasiththar
இந்த	intha
மலையில்	malaiyil
இருந்துதான்	irunthuthaan
தவம்	thavam
செய்தார்	seithaar
என்று	endru
மயூராசல	mayuraasala
புராணம்	puranam
குறிப்பிடுகிறது	kurippidukirathu
</s>	</s>
இதன்	ithan
தலைநகரம்	thalainagaram
ஓக்லஹோமா	voklahoomaa
நகரம்	nagaram
</s>	</s>
நாட்டில்	naatil
முதலாவது	muthalaavathu
நவீனப்பள்ளி	naavinapalli
1892	1892
ஆம்	aam
ஆண்டு	aandu
மனாமாவில்	manamaavil
அமெரிக்க	america
டச்சு	dachchu
சீர்திருத்த	seerthiruththa
மாதா	matha
கோவிலால்	kovilaal
தொடங்கப்பட்டது	thodangapattathu
</s>	</s>
இவரது	ivarathu
பாடல்	paadal
ஒன்றே	onre
ஒன்று	ondru
சங்கப்பாடல்களில்	sangapaadalgalin
இடம்	idam
பெற்றுள்ளது	pettrullathu
</s>	</s>
வாழ்வியற்	vaalviyar
களஞ்சியம்	kalanchiyam
தொகுதி	thoguthi
பன்னிரண்டு	panirendu
தமிழ்ப்	tamil
பல்கலைக்கழகம்	palgallaikalagam
தஞ்சாவூர்	tanjavore
</s>	</s>
தலையாலங்கானத்துச்	thalaiyaalangaanaththu
செருவென்ற	seruvendru
நெடுஞ்செழியன்	nedunjeliyan
இவனது	ivanathu
நாட்டைத்	naattai
தனதாக்கிக்	thanathaagi
கொண்டபின்	kondappin
தொன்முது	thonmuthu
வேளிர்	veliri
ஆண்ட	aanda
முத்தூரையும்	muththuraiyum
கைப்பற்றிக்கொண்டான்	kaipattrikondaan
</s>	</s>
இவரின்	ivarin
முன்னோர்கள்	munorgal
சோழ	soola
நாட்டில்	naatil
திருவாரூர்	thiruvaarur
என்ற	endra
ஊரைச்	voorai
சேர்ந்தவர்கள்	sernthavargal
</s>	</s>
சதுப்பு	sathuppu
நிலங்களிலும்	nilangallilum
ஏரிகளிலும்	yerigalilum
நெல்வயல்களிலும்	nelvayalgalilum
இப்பறவையைக்	ipparavaiyai
காணலாம்	kaanalaam
</s>	</s>
சாகித்தி	saagiththu
பிங்காலி	pingali
பெங்களூரு	bengaloru
இன்வென்சர்	invensar
அகாதெமியில்	aagathemiyil
பயின்றவர்	payindravar
</s>	</s>
அவர்	avar
20	20
வயதில்	vayathil
ஒரு	oru
கேப்டன்	captain
ஆனார்	aanaar
வெஸ்ட்	west
இண்டீஸ்	indise
பால்டிக்	paaltic
மற்றும்	mattrum
கனடாவில்	canadavil
சேவை	sevai
புரிந்தார்	purinthaar
.	.
</s>	</s>
புதிய	pudhiya
தமிழ்ப்	tamil
புலிகள்	puligal
என்று	endru
1972	1972
ஆரம்பிக்கப்பட்ட	aarambikkapatta
ஈழ	yiila
போராட்ட	poratta
அமைப்பு	amaippu
இன்று	yindru
முதன்மையாக	muthanmaiyaaga
இயங்கும்	yiyakkum
தமிழீழ	tamilila
விடுதலைப்	viduthalai
புலிகள்	puligal
என்று	endru
1976	1976
ஆம்	aam
ஆண்டு	aandu
பெயர்	peyar
மாற்றப்பட்டது	maattrapattathu
</s>	</s>
தன்	than
மாற்றுப்பெயரின்	maatrupeyarin
சுருக்கமாக	surukkamaaga
சுரதா	suratha
என்னும்	ennum
பெயரில்	peyaril
பல	pala
மரபுக்கவிதைத்	marappukavithai
தொகுப்புகள்	thoguppukal
தந்தவர்	thanthavar
</s>	</s>
இராமநாதனும்	raamanaathanum
ஆசிரியராக	aasiriyaraaga
இருந்தனர்	irunthanar
நாகம்மையார்	naagammaiyaar
வெளியிட்டாளர்	veliyittaalar
</s>	</s>
இந்த	intha
சேதத்தின்	thesaththin
மதிப்பு	mathippu
பாதுகாக்கப்பட்ட	paathugakkapatta
பொருட்களை	porutkalai
விட	vida
அதிகமாக	athigamaaga
இருக்கலாம்	irukkalaam
</s>	</s>
இந்த	intha
மலையின்	malaiyin
மேற்கு	merkku
பக்கம்	pakkam
மழையாகவும்	malaiyaagavum
கிழக்குப்	kilakku
பக்கம்	pakkam
மழைச்சாரல்	malaisaaral
மற்றும்	mattrum
ஈரக்காற்றுடன்	yeerakaatrudan
தென்றலாக	thendralaaga
தவழ்ந்து	thavalnthu
வரும்	varum
</s>	</s>
ஜப்பானிய	japaniya
மாதிரியை	maathiriyai
அடிப்படையாகக்	adipadaiyaaga
கொண்டது	kondathu
சேகா	sekaa
விளையாட்டு	vilaiyaattu
டெப்சி	tepsi
ஆஃப்	aaf
த	the
டெட்	tet
போன்ற	pondra
ஒரு	oru
விதத்தில்	vithathil
திரையில்	thiraiyil
தோன்றும்	thondrum
கதாப்பாத்திரங்களை	kadhapaathirangalai
அங்கீகரிப்பதும்	aangigarippathum
தட்டச்சு	thattachu
செய்தும்	seithum
கட்டுப்படுத்தப்படுகிறது	kattupaduthapadugirathu
</s>	</s>
ப்ரகாதி	pragathi
</s>	</s>
இவை	ivai
காலப்போக்கில்	kaalapokkil
ஒரு	oru
சமயமாகவும்	samayapaagavum
உருவெடுத்தது	vuruveduthathu
</s>	</s>
அப்பாராவுபேட்டை	apparavupettatai
</s>	</s>
தாம்	thaam
நம்புகிற	nambugira
எதுவுமே	yaethuvume
உண்மையில்	vunmaiyil
தவறானதாக	thavaranathaga
இருக்கக்கூடும்	irukkakudum
எனவே	enve
அதை	athai
கேள்வி	kelvi
கேட்டு	kettu
மேம்படுத்திட	mempaduththida
வேண்டும்	vendum
என்பதே	yenbathe
இத்	ith
தத்துவமாகும்	thathuvamaagum
</s>	</s>
ஆனால்	aanaal
ருபீடியம்	roopidium
உப்புகள்	vuppugal
குறைந்த	kuraintha
அளவிலேயே	alavileye
கரைகின்றன	karaikinrana
</s>	</s>
பாக்கித்தானில்	paakithanil
பருவப்	paruva
பெயர்ச்சிக்	peyarchchi
காற்று	kaatru
மற்றும்	mattrum
மழை	malai
காரணமாக	kaaranamaaga
40	40
பேர்	per
உயிரிழந்தனர்	vuyirilanthanar
சேனல்	senal
நியூஸ்	news
</s>	</s>
உள்ளூரில்	vulluril
மட்டும்	mattum
தான்	thaan
திருமணத்திற்க்கு	thirumanaththirku
பெண்	pen
எடுக்க	edukka
முடியும்	mudiyum
</s>	</s>
இதனால்	ithanaal
நாம்	naam
விரும்பும்	virumbum
மாடிக்கு	maadikku
மேலோ	melo
கீழோ	keelo
சென்றுவர	sendruvara
இயலும்	iyalum
</s>	</s>
ஆனால்	aanal
அன்று	andru
ஆச்சார்ய	aacharya
கிருபளானியும்	kirupalaaniyum
கைது	kaithu
செய்யப்பட்டார்	seiyapattaar
என்ற	endra
செய்தியைக்	seithiyai
கேட்ட	ketta
அன்றே	andre
உயிர்	vuyir
துறந்தார்	thuranthaar
</s>	</s>
மேலும்	melum
நுணுக்கமான	noonukkamaana
வடிவமைப்புகளை	vadivamaippukalai
தட்டைச்	thattai
சிறு	siru
மீன்	meen
அத்துப்	aththu
பூச்சி	poochi
மற்றும்	mattrum
தவளை	thavalai
போன்ற	pondra
பல	pala
உயிரினங்களில்	vooyirinaggalil
காணலாம்	kaanalaam
</s>	</s>
பூவரசு	poovarasu
காட்டுச்சீரகம்	kaatuseeragam
</s>	</s>
வைகை	vaikai
மீன்கள்	meengal
</s>	</s>
கமலாபுரம்	kamalaapuram
சட்டமன்றத்	sattamandra
தொகுதி	thoguthi
ஆந்திரப்	andra
பிரதேச	pradesa
சட்டமன்றத்திற்கான	sattamandrathirkkaana
தொகுதியாகும்	thoguthiaagum
</s>	</s>
நடத்தல்	nadaththal
</s>	</s>
கணிதம்	kanitham
என்பது	enbathu
வெளிப்படையான	velipadaiyaana
சொற்பொருளியல்	sorporuliyal
விதிகள்	vithigal
படி	padi
முதன்மையான	moothanmaiyaana
வரிசை	varisai
மொழியின்	moliyin
அர்த்தமற்ற	arththamattra
சின்னங்களை	sinagalai
கையாளுதல்	kaiyaaluthal
ஆகும்	aagum
</s>	</s>
மேலும்	melum
அவர்	avar
தனது	thanathu
1981-1982	1981-1982
கனடா	canada
சுற்றுப்பயணத்திற்கு	sutrupayanathirkku
டெர்ரி	terri
பாக்ஸ்	paaks
சுற்றுப்பயணம்	suttrupayanam
எனப்	ena
பெயரிட்டார்	peyarittaar
</s>	</s>
இருப்பினும்	iruppinum
ஒரு	oru
ஏ-தர	ye-thara
துடுப்பாட்டப்	thooduppatta
போட்டியில்	pootiyil
கலந்து	kalanthu
கொண்டுள்ளார்	kondullaar
</s>	</s>
ஏனெனில்	yennenil
இதேபோன்ற	yithepondra
அமைப்பில்தான்	amaippilthaan
அரிக்கமேடு	arikkamedu
அகழாய்விலும்	aagalaivilum
சாயத்தொட்டி	saayaththotti
கண்டெடுக்கப்பட்டுள்ளது	kandedukkapattullathu
</s>	</s>
தலைவன்	thalaivan
புன்னையங்கானல்	punaiyanganal
கடலோரப்	kadalora
பகுதியில்	paguthiyil
பல	pala
நாள்	naal
தேரில்	theril
வந்து	vanthu
தலைவியோடு	thalaiviyodu
இருந்துவிட்டுச்	irunthuvittu
செல்கிறான்	selgiraan
</s>	</s>
1944	1944
–	-
இரண்டாம்	yirandaam
உலகப்	vulaga
போர்	poor
அவுசுவிட்சு	avusuvitsu
வதை	vathai
முகாமில்	mugaamil
இடம்பெற்ற	idampettra
கிளர்ச்சியில்	kilarsiyil
யூதக்	yudha
கைதிகள்	kaithigal
அங்கிருந்த	angiruntha
சவக்காலையைத்	savakaalaiyai
தீயிட்டுக்	theeyittu
கொளுத்தினர்	koluththinar
</s>	</s>
இந்தவிளையாட்டு	inthavilaiyaattu
குழு	kulu
உணர்வை	vunarvai
வலியுறுத்துவதோடு	valiyuruthuvathoodu
எதிரியின்	yethiriyin
கண்களில்	kangalil
அகப்படாமல்	agapadaamal
பதுங்கி	pathungi
செல்ல	sella
வேண்டும்	vendum
என்ற	endra
ராணுவ	raanuva
உத்தியை	yuththiyai
சொல்லித்	sollith
தரும்	tharum
விளையாட்டாக	velaiyaattaga
உள்ளது	vulla
கண்ணாமூச்சி	kanampochi
</s>	</s>
குறிப்பாக	kurippaga
6	6
வயதுக்கு	vayathukku
கீழ் உள்ள	vulla
குழந்தைகள்	kulanthaigal
தான்	than
அதிக	athiga
அளவில்	alavil
கடத்தப்படுவதாக	kadaththapaduvatha
ஆய்வறிக்கை	aaivarikkai
உள்ளது	vullathu
</s>	</s>
வைரமுத்து	vairamuthu
ஒரு	oru
இந்திய	indiya
அரசியல்வாதியும்	arasiyalvaathiyum
திருமயம்	thirumayam
தொகுதியில்	thoguthiyil
இருந்து	irunthu
தமிழ்நாடு	tamilnadu
சட்டமன்ற	sattamandra
உறுப்பினராகவும்	vuruppinaragavum
உள்ளார்	vullaar
</s>	</s>
மார்கரெட்	maarkret
பர்பிட்ஜ்	parpitg
</s>	</s>
உலங்குவானூர்திகள்	vulanguvaanoorthigal
</s>	</s>
தாமரை	thaamarai
போன்ற	pondra
கண்ணை	kannai
உடையவன்	vudaiyavan
</s>	</s>
வாகீச	vaakisa
முனிவர்	munivar
சைவ	saiva
சித்தாந்தக்	siththaantha
குருமார்களில்	gurumaarkalil
ஒருவர்	oruvar
</s>	</s>
நூல்	nool
மூன்று	munru
ஆசிரியப்பாவால்	aasiriyapaval
ஆனது	aagum
</s>	</s>
சிதைப்பதன்	sithaippathan
மூலம்	moolam
மீண்டும்	meendum
கனிமங்கள்	kanimangal
மண்ணிற்குள்	manirkul
சென்றடைகிறது	sendradaikirathu
</s>	</s>
தையற்கலை	thaiyarkalai
மற்றும்	mattrum
ஆயத்த	aayaththa
ஆடைகள்	aadaigal
</s>	</s>
குறிப்பேடு	kuripeedu
என்னும்	ennum
இந்நூலில்	nannool
1008	1008
பதிவுகளை	paguthigalai
உடைய	vudaiya
சொற்குறிப்பு	sorkurippu
என்னும்	ennum
சொல்லவுடைவும்	solvudaivum
பின்வரும்	pinvarum
பதினொரு	pathinoru
இயல்களும்	iyalgalum
உள்ளடக்கமாக	vulladakkamaaga
இருக்கின்றன	irukkinrathu
</s>	</s>
வெள்ளை	vellai
மிக்கைல்	mikkail
போட்வினிக்	botvinik
</s>	</s>
கடவுளின்	kadavulin
மகனாக	maganaaga
பாவித்தனர்	paaviththanar
</s>	</s>
இவர்	ivar
லேகியன்	legiyan
ப்ளூட்	plut
டிரான்சன்டன்ஸ்	tiraansandans
போன்ற	pondra
பல	pala
திரைப்படங்களில்	thiraipadangalil
நடித்ததன்	nadiththathan
மூலம்	moolam
புகழ்	pugal
பெற்ற	petra
நடிகர்	nadigar
ஆனார்	aanaar
</s>	</s>
திசைச்சொல்	thisaisol
</s>	</s>
மாறாக	maraga
பரப்பளவு	parapalavu
அடியின்	adiyin
சதுக்கத்திற்கும்	sathukkathirkum
கோணத்தின்	koonaththin
சைனிற்குமான	sainirkumana
பெருக்கலின்	perukkalin
மதிப்பு	mathippu
:	:
</s>	</s>
அவற்றின்	avattrin
உடலில்	vudalgalin
ஒரு	voru
வகை	vagai
உண்ணிகள்	voonnigal
உள்ளன	vullana
</s>	</s>
2018	2018
அக்டோபர்	october
26	26
இல்	il
அரசுத்தலைவர்	arasuththalaivar
மைத்திரிபால	maithiripaala
சிறிசேன	sirisena
விக்கிரமசிங்கவை	vikramasingavai
பிரதமர்	pirathamar
பதவியில்	pathaviyil
இருந்து	irunthu
அகற்றி	agattri
அவருக்குப்	avarukku
பதிலாக	pathillaaga
முன்னாள்	munnaal
அரசுத்தலைவர்	arasuththalaivar
மகிந்த	magintha
ராசபக்சவைப்	raasapaksavai
பிரதமராக	prethamaraaga
நியமித்தார்	niyamiththaar
</s>	</s>
உண்மையான	vunmaiyana
டச்	tach
எழுத்துகளுக்குப்	eluthukallukku
பொருந்தி	porunthi
வரும்	varum
வகையில்	vagaiyil
சில	sila
புத்தகங்கள்	puththakangal
வாங்கு	vaagum
மற்றும்	mattrum
வெளியேறு	veliyeru
என்று	endru
அவற்றைக்	avatrai
குறிப்பிடுகின்றன	kurupidukirana
</s>	</s>
தோரப்ஜியின்	thorapgiyin
தந்தை	thanthai
ஜம்ஷெத்ஜி	jamshetji
வணிக	vaniga
நிமித்தமாக	nimiththamaga
மைசூர்	maisoor
இராச்சியத்துக்கு	raajiyathirkku
வந்தார்	vanthar
</s>	</s>
ராமகுப்பம்	raamakuppam
கோட்டை	kottai
மண்டலம்	mandalam
ஆந்திரப்	andhira
பிரதேசத்தின்	predessaththin
சித்தூர்	siththoor
மாவட்டத்தில்	mavatathil
உள்ள	vulla
66	66
மண்டலங்களில்	mandalangalil
ஒன்று	ondru
</s>	</s>
அதுவரை	athuvarai
ஊராட்சிஒன்றிப்பு	vooratchionrippu
என	ena
வழங்கப்பட்ட	valangapatta
சொல்,அதன்பின்ன்ர்	sol, athanpinnar
ஊராட்சி ஒன்றியம்	vooratchionriyam
என	ena
வழங்கலாயிற்று	valangalayitru
</s>	</s>
ஆகத்து	aagaththu
2	2
–	-
இங்கிலாந்து	englandhu
மன்னர்	mannar
இரண்டாம்	irandam
வில்லியம்	william
வேட்டையாடும்	vettaiyadum
போது	bodhu
ஏற்பட்ட	erpatta
விபத்தில்	vibaththil
இறந்ததை	iranthathai
அடுத்து	aduthu
அவரது	avarathu
சகோதரர்	sagotharar
முதலாம்	muthalaam
என்றி	henry
மன்னராக	manaraaga
அறிவிக்கப்பட்டார்	arivikkapattar
</s>	</s>
அதன்	athan
பின்னர்	pinnar
திருப்பூரில்	thirupooril
நடைபெற்ற	nadaipettra
கூட்டத்தில்	koottathil
அரசுப்	arasu
பணிகளிலும்	panigalilum
கல்வியிலும்	kalviyilum
இடஒதுக்கீட்டை	idavothukeetai
அமல்படுத்த	amalpaduththa
வேண்டும்	vendum
என்ற	endra
கோரிக்கையைக்	korikkaiyai
காங்கிரஸ்	congress
கட்சி	katchi
ஆங்கில	aangila
அரசுக்கு	arasukku
வலியுறுத்த	valiyuruththa
வேண்டும்	vendum
என்பதை	enbathai
மிகத்தீவிரமாக	meegathiviramaaga
முன்னிறுத்தினார்	moniruthinaar
</s>	</s>
தமிழனின்	tamilin
பாரம்பரிய	paarampariya
விளையாட்டுகள்	vilaiyaatukal
மூலம்	moolam
உணர்வுகளைக்	vunarvugalai
கட்டுப்படுத்தவும்	kattupaduthavum
கூடி	koodi
வாழும்	vaalum
இயல்பை	iyalpai
வளர்த்துக்	valarththu
கொள்ளவும்	kollavum
வெற்றி	vettri
தோல்விகளைச்	tholvikalai
சமமாக	samamaagavum
நினைக்கவும்	ninaikkavum
கூடி	koodi
விளையாடவேண்டும்	vilaiyadavendum
என்ற	endra
அழுத்தமான	aluthamaana
செய்திகளை	seithigalai
நமது	namathu
முன்னோர்கள்	munorgal
வகுத்து	vaguthu
சென்றுள்ளனர்	sendrullanar
</s>	</s>
இதற்கான	itharkaana
அடிக்கல்லை	adikallai
முன்னாள்	munaal
மனிதவள	manithavala
அமைச்சர்	amaishar
அர்ச்சுன்	arjun
சிங்	singh
24	24
பிப்ரவரி	february
அன்று	andru
நாட்டினார்	naatinaar
</s>	</s>
இவர்	ivar
இலங்கை	ilankai
சனநாயக	sanaayaka
சோசலிசக்	sosalisa
குடியரசின்	kudiyarasin
7வது	7vathu
நாடாளுமன்றத்திற்கான	naadalumandrathirkaana
2010	2010
பொதுத்	podhu
தேர்தலில்	therthalil
சுதந்திர	suthanthira
இலங்கையின்	ilangaiyin
14	14
வது	vathu
பொதுத்	podhu
தேர்தல்	therthal
ஐக்கிய	aikkiya
தேசியக்	thesiya
கட்சி	katchi
சார்பில்	saarbil
காலிமாவட்டத்திலிருந்து	kaalimaavattathilirunthu
மக்களால்	makkalaal
தெரிவு	therivu
செய்யப்பட்ட	seiyapatta
உறுப்பினர்	voruppinar
</s>	</s>
இந்த	intha
நூலில்	naalil
வரும்	varum
திருமுடி	thirumudi
அடைவு”ப்	adaivu
பகுதியில்	paguthiyil
தட்சிணாமூர்த்தி	thatsinamoorthi
கீதை	kiidhai
சொன்ன	sonna
கண்ணன்	kannan
நம்மாழ்வார்	nammaalvar
காழிச்சிறு	kaalisiiru
பாலகன்	paalkan
ஞானசம்பந்தர்	gnanasampanthar
நாவின்	naavin
அரசன்	arasan
திருநாவுக்கரசு	thirunavukarasu
சுந்தரன்	suntharan
வாதவூரன்	vaathavooran
என்பவர்களைப்	enbavargala
போற்றிய	pootriya
பின்னர்	pinnar
சிவப்பிரகாசரையும்	sivapregasaraiyum
சொரூபானந்தரையும்	sorupaanantharaiyum
இணைத்து	inaiththu
வரிசைப்படுத்துகிறார்	varisaipaduththikiraar
</s>	</s>
புழுதிவாக்கம்	puluthivaakkam
பஞ்சாயத்தின்	panjayaththin
நீர்த்	neerth
தேவைக்குப்	thevaikku
பிரதானமாய்	prethanamaai
விளங்கிய	veelangiya
புழுதிவாக்கம்	puluthavaakam
குளமும்	kulamum
தூர்வாரப்பட்டது	thoorvaarapattathu
</s>	</s>
எஸ்	es
மனோகர்	manokar
அவர்களின்	avargalin
நாடகப்	naadaga
பட்டறையில்	pattarayil
சிறு	siru
வயதில்	vaayathil
நடித்தவர்	nadiththavar
</s>	</s>
முதலில்	muthalil
தன்னிடம்	thannidam
இருந்தும்	irunthum
அவன்	avan
வேலை	velai
உற்பத்தி	voorpaththi
செய்யும்	seiyum
பொருளில்	pooruril
இருந்தும்	irunthum
பெறப்படும்	perapadum
மனிதனின்	manithanin
உழைப்பைப்	voolaipai
பண்புருவாக்கம்	panpuruvaakkam
abstraction	abstraction
செய்ய	seiya
வேண்டும்	vendum
</s>	</s>
இருமை	irumai
நட்சத்திரங்களை	natchathirangalai
ஆய்வு	aaivu
செய்யும்	seiyum
வழியைப்	valiyai
பொறுத்து	poruththu
அவற்றை	avatrai
நான்கு	naangu
வகையாகப்	vagaiyaaga
பிரிக்கலாம்	pirikkalaam
</s>	</s>
இந்த	intha
ஆய்வு	aaivu
பருவக்	paruva
காற்றோட்டம்	kaatrotam
அரவிக்	aravi
கடலுக்குள்	kadalukkul
மட்டும்	mattum
நிகழ்கிறதா	nigalkiratha
அல்லது	allathu
அதையும்	athaiyum
தாண்டி	thaandi
தென்னிந்திய	thenninthiya
பெருங்கடலில்	perungadalil
ஆரம்பித்து	aarambiththu
மத்திய	maththiya
ரேகையைக்	regayai
கடக்கிறதா	kadakkiratha
என்	enra
றஆய்வாளர்களின்	aaivaalargalin
சந்தேகத்தைப்	santhegaththai
போக்குவதற்காக	pokkuvaraththaaga
1979-ம்	1979-aam
ஆண்டு	aandu
மேற்கொள்ளப்பட்டு	merkollapattu
மே	may
மாதம்	matham
முதல்	muthal
ஆகஸ்டு	august
வரை	varai
நிகழ்த்தப்பட்டது	nigalththapattathu
</s>	</s>
சிறுநீர்ப்பை	siruneerpai
கோளாறு	koolaaru
</s>	</s>
இவர்	ivar
எழுதிய	eludhiya
ஆதிதிராவிடன்	aathithiravidan
இதழ்த்	ithal
தொகுப்பு	thoguppu
எனும்	ennum
நூல்	nool
தமிழ்	tamil
வளர்ச்சித்	valarchi
துறையின்	thoorayin
2008	2008
ஆம்	aam
ஆண்டுக்கான	aandukaana
சிறந்த	sirantha
நூல்களில்	nhoolgalil
இதழியல்	ithzhiyal
தகவல்	thagaval
தொடர்பு	thodarbu
வகைப்பாட்டில்	vagaipaatil
பரிசு	parisu
பெற்றிருக்கிறது	pettrirukkirathu
</s>	</s>
ஓவியர்	voviyar
ரவிவர்மாவின்	ravivarmaavin
162வது	162vathu
பிறந்தநாள்	piranthanaal
விழா	vila
ஓவியப்போட்டியில்	oviyapotiyil
இப்பள்ளி	ippalli
மாணவர்கள்	maanavargal
மாநில	maanila
அளவில்	alavil
முதல்,இரண்டாமிடம்	muthal, irandaamidam
பெற்று	petru
அன்றைய	anraiya
தமிழக	tamilaga
ஆளுநர்	aalunar
சுர்ஜித்சிங்	sarjithsingh
பர்னாலா	parnala
அவர்களிடம்	avargalidam
பாராட்டும்	paarattum
விருதும்	virunthum
பெற்றுள்ளார்கள்.(3	pettrullargal.(3
2017	2017
இல்	il
நடைபெற்ற	nadaipettra
மாவட்ட	maavatta
அளவிலான	alavilaana
நூலக	noolaga
விழா,பேச்சு,கட்டுரைப்	vizha, pechu, katturai
போட்டிகளில்	pottigalil
வெற்றி	vettri
பெற்று	petru
இரண்டாமிடமும்,மூன்றாமிடமும்	irandamidamum mundraamidamum
பெற்றுள்ளனர்.(4	pettrullanar.(4
</s>	</s>
இதில்	ithil
பல	pala
துணைப்	thunai
பிரிவுகள்	pirivugal
உள்ளன	vulla
பாய்வு	paaivu
பாகுநிலையற்ற	paagunilaiyatra
அமுக்கவியலா	amukaviyalaa
சுழற்சியற்ற	sularchiyatra
பாய்வாக	paaivaaga
இருக்கும்	irukkuma
போது	podhu
அப்பாய்வு	appaivu
நிலைப்பாய்வு	nilaipaaivu
எனப்படுகிறது	enapadukirathu
</s>	</s>
1925	1925
இல்	il
ஆக்சுபோர்ட்	oxford
பல்கலைக்கழகத்துக்குத்	palgalaikalakathukku
திரும்பி	thirumbi
ஆங்கிலோ	aangilo
சாக்சனுக்கான	saksanukkaana
ராலின்சன்	raalinsan
மற்றும்	mattrum
பாஸ்வர்த்	paasvarth
பேராசிரியராகப்	perasiriyaraaga
பதவியேற்றார்	pathaviyetraar
</s>	</s>
ஸ்ரீநகரிலிருந்து	shreenagaril irunthu
ஷாதிபோரா	shathipora
நாசிம்	naasim
மற்றும்	mattrum
காந்தர்பால்	kantharpaal
வழியாக	valiyaga
30	30
கி	ki
</s>	</s>
பொருட்களின்	porutkalin
இயல்பின்	iyalbin
அடிப்படையில்	adipadaiyil
</s>	</s>
தீப்	theep
புண்களை	pungalai
ஆற்றும்	aatrum
சக்தி	sakthi
புங்கை	pungai
மரத்தின்	marathin
பட்டைக்கு	pattaikku
உள்ளது	ulladhu
</s>	</s>
மாவட்ட	maavatta
நூலக	noolaga
அதிகாரி	adhikaari
</s>	</s>
இந்தப்	indha
பட்டியலில்	pattiyalil
முதல்	mudhal
இடத்தில்	idatthil
மேற்கு	merku
வங்கமும்	vangamum
அடுத்த	adutha
இடத்தில்	idatthil
தமிழகம்	thamizhagam
இருப்பதாக	irupadhaga
அறியப்படுகிறது	ariyappadugiradhu
</s>	</s>
கணிசமான	kanisamaana
அளவு	alavu
முழுமையடைந்தால்	muzhumaiyadainthaal
வேலையைப்	velayaip
பரிசோதித்துக்	parisodhitthuk
குறைபாடுகளின்	kuraipaadukalin
பட்டியலைத்	pattiyalaith
தயாரித்தல்	thayaritthal
</s>	</s>
எவ்வளவுக்கு	evvalavukku
எவ்வளவு	evvalavu
விரைவாக	viraivaaga
மனநல	mananala
மருத்துவரின்	maruthuvarin
ஆலோசனைக்கு	aalosanaikku
வருகிறார்	varukiraar
என்பதைப்	enbathaip
பொறுத்தும்	porutthum
அவர்களுக்கு	avarkallukku
அளிக்கும்	allikkum
சரியான	sariyaana
சிகிச்சை	sikichai
முறைகளை	muraigalai
பொறுத்தும்	porutthum
இந்நோய்	innoi
முழுமையான	muzhumayaana
தீவிரமான	theeviramaana
கட்டத்தை	sattatthai
அடையாமல்	adaiyaamal
நோயால்	noyaal
பாதிக்கப்பட்டவரைக்	paathikkapattavaraik
காப்பாற்ற	kaapattra
முடியும்	mudiyum
</s>	</s>
நவக்	navak
கிரகங்கள்	kirakangal
</s>	</s>
இடது	idadhu
படம்	padam
மரத்தின்	maratthin
வலது	valadhu
பக்கப்	pakkap
பகுதியாகும்	paghuthiyaaghum
</s>	</s>
2002	2002
ஆம்	aam
ஆண்டில்	aandil
எல்	el
பாரிஸ்	paris
